drug_name,adr_category,description
cc12ccc3c(c1ccc2=o)cc=c4c3(ccc(c4)o)c,Hepatobiliary disorders,0
c[n+](c)(c)cc(cc(=o)o)o,Hepatobiliary disorders,0
c(cc(=o)o)cn,Hepatobiliary disorders,0
c1c(n(c2=c(n1)nc(=nc2=o)n)c=o)cnc3=cc=c(c=c3)c(=o)nc(ccc(=o)o)c(=o)o,Hepatobiliary disorders,0
cccccc(c=cc1c(cc(=o)c1cc=ccccc(=o)o)o)o,Hepatobiliary disorders,0
cccccc(c=cc1c(cc2c1cc(=ccccc(=o)o)o2)o)o,Hepatobiliary disorders,0
c1=nc2=c(c(=n1)n)n=cn2c3c(c(c(o3)co)o)o,Hepatobiliary disorders,0
c(c1c(c(c(c(o1)o)o)o)o)o,Hepatobiliary disorders,0
cccccc(c=cc1c(cc(=o)c1ccccccc(=o)o)o)o,Hepatobiliary disorders,0
c(c(c1c(=o)c(=c(o1)o)o)o)o,Hepatobiliary disorders,0
c1=nc2=c(c(=n1)n)n=cn2c3c(c(c(o3)cop(=o)(o)op(=o)(o)op(=o)(o)o)o)o,Hepatobiliary disorders,0
c1c2c(c(s1)ccccc(=o)o)nc(=o)n2,Hepatobiliary disorders,0
[ca+2],Hepatobiliary disorders,0
c1=cc(=cc=c1c(c(co)nc(=o)c(cl)cl)o)[n+](=o)[o-],Hepatobiliary disorders,0
cc(c)cccc(c)c1ccc2c1(ccc3c2cc=c4c3(ccc(c4)o)c)c,Hepatobiliary disorders,0
[cl-],Hepatobiliary disorders,0
c1=cc=c(c(=c1)c(=o)o)o,Hepatobiliary disorders,0
c(c(c(=o)o)n)c(=o)o,Hepatobiliary disorders,0
cc(c(=o)c1=cc(=cc=c1)cl)nc(c)(c)c,Hepatobiliary disorders,0
cc12ccc3c(c1ccc2o)ccc4=c3c=cc(=c4)o,Hepatobiliary disorders,0
c(c(c(c(c(co)o)o)o)o)o,Hepatobiliary disorders,0
c(ccc(=o)o)ccn,Hepatobiliary disorders,0
cc(=o)nc(cs)c(=o)o,Hepatobiliary disorders,0
c1=cn(c(=o)n=c1n)c2c(c(c(o2)co)o)o,Hepatobiliary disorders,0
c(cs(=o)(=o)o)s,Hepatobiliary disorders,0
c(c(c(c(c(c(=o)o)o)o)o)o)o,Hepatobiliary disorders,0
c1=cc(=c(c=c1ccn)o)o,Hepatobiliary disorders,0
cco,Hepatobiliary disorders,0
cc1=cc2=c(c=c1c)n(c3=nc(=o)nc(=o)c3=n2)cc(c(c(cop(=o)(o)op(=o)(o)occ4c(c(c(o4)n5c=nc6=c5n=cn=c6n)o)o)o)o)o,Hepatobiliary disorders,0
c(cc(=o)n)c(c(=o)o)n,Hepatobiliary disorders,0
c(c1c(c(c(c(o1)o)n)o)o)o,Hepatobiliary disorders,0
